,price,bedrooms,bathrooms,sqft_living,floors,grade,sqft_above,sqft_basement,lat,sqft_living15
0,7322700.0,3,1.0,1180,1.0,7,1180,0,47.5112,1340
1,17754000.0,3,2.25,2570,2.0,7,2170,400,47.721,1690
2,5940000.0,2,1.0,770,1.0,6,770,0,47.7379,2720
3,19932000.0,4,3.0,1960,1.0,7,1050,910,47.5208,1360
4,16830000.0,3,2.0,1680,1.0,8,1680,0,47.6168,1800
5,40425000.0,4,4.5,5420,1.0,11,3890,1530,47.6561,4760
6,8497500.0,3,2.25,1715,2.0,7,1715,0,47.3097,2238
7,9631050.0,3,1.5,1060,1.0,7,1060,0,47.4095,1650
8,7573500.0,3,1.0,1780,1.0,7,1050,730,47.5123,1780
9,10659000.0,3,2.5,1890,2.0,7,1890,0,47.3684,2390
10,21862500.0,3,2.5,3560,1.0,8,1860,1700,47.6007,2210
11,15444000.0,2,1.0,1160,1.0,7,860,300,47.69,1330
12,10230000.0,3,1.0,1430,1.5,7,1430,0,47.7558,1780
13,13200000.0,3,1.75,1370,1.0,7,1370,0,47.6127,1370
14,17490000.0,5,2.0,1810,1.5,7,1810,0,47.67,1360
15,21450000.0,4,3.0,2950,2.0,9,1980,970,47.5714,2140
16,13035000.0,3,2.0,1890,2.0,7,1890,0,47.7277,1890
17,16005000.0,4,1.0,1600,1.5,7,1600,0,47.6648,1610
18,6237000.0,2,1.0,1200,1.0,7,1200,0,47.3089,1060
19,7590000.0,3,1.0,1250,1.0,7,1250,0,47.3343,1280
20,12705000.0,4,1.75,1620,1.0,7,860,760,47.7025,1400
21,66000000.0,3,2.75,3050,1.0,9,2330,720,47.5316,4110
22,9405000.0,5,2.5,2270,2.0,8,2270,0,47.3266,2240
23,8339100.0,2,1.5,1070,1.0,7,1070,0,47.3533,1220
24,10857000.0,3,2.25,2450,2.0,8,2450,0,47.3739,2200
25,7689000.0,3,2.0,1710,1.5,6,1710,0,47.3048,1030
26,30921000.0,3,1.75,2450,2.0,8,1750,700,47.6386,1760
27,22011000.0,3,1.0,1400,1.5,8,1400,0,47.6221,1860
28,14454000.0,3,1.75,1520,1.0,7,790,730,47.695,1520
29,23727000.0,4,2.5,2570,2.0,8,2570,0,47.7073,2630
30,19156500.0,3,2.5,2320,2.0,8,2320,0,47.5391,2580
31,9240000.0,2,1.5,1190,3.0,7,1190,0,47.7274,1390
32,22687500.0,4,1.75,2330,1.5,7,1510,820,47.6823,1460
33,17655000.0,3,1.0,1090,1.5,8,1090,0,47.6889,1570
34,10642500.0,4,2.75,2060,1.0,7,1280,780,47.4276,2020
35,22968000.0,3,2.5,2300,1.5,8,1510,790,47.6827,1590
36,18150000.0,4,1.0,1660,1.0,5,930,730,47.6621,2160
37,21120000.0,4,2.0,2360,2.0,8,2360,0,47.6702,1730
38,7920000.0,4,1.0,1220,1.0,7,890,330,47.3341,1290
39,19965000.0,4,2.5,2620,2.0,8,2620,0,47.5301,2620
40,20625000.0,4,2.5,2570,2.0,9,2570,0,47.6145,2470
41,25575000.0,4,2.25,4220,1.0,8,2600,1620,47.445,2410
42,28445670.0,5,2.75,3595,2.0,9,3595,0,47.6848,3625
43,22605000.0,3,1.0,1570,2.0,7,1570,0,47.6413,1580
44,10197000.0,3,1.0,1280,1.0,6,920,360,47.4485,1340
45,16104000.0,3,2.5,3160,2.0,8,3160,0,47.7443,3050
46,6946170.0,3,1.0,990,1.0,6,990,0,47.3066,1228
47,25905000.0,4,2.5,2290,2.0,9,2290,0,47.6194,2680
48,14850000.0,3,1.75,1250,1.0,7,1250,0,47.6796,970
49,44550000.0,3,2.5,2753,1.0,9,2165,588,47.4041,2680
50,7524000.0,3,1.0,1190,1.0,7,1190,0,47.4258,1190
51,11385000.0,5,2.5,3150,1.0,8,1640,1510,47.4934,1990
52,19800000.0,3,1.75,1410,1.0,7,1000,410,47.6808,1410
53,19305000.0,2,1.75,1980,1.0,7,990,990,47.6989,1480
54,30360000.0,5,2.25,2730,1.5,8,2130,600,47.6571,2730
55,29205000.0,4,2.5,2830,2.0,9,2830,0,47.6597,1950
56,9652500.0,4,2.5,2250,2.0,7,2250,0,47.3663,2250
57,9933000.0,3,2.5,2420,2.0,8,2420,0,47.3663,2690
58,31383000.0,5,3.25,3250,2.0,8,3250,0,47.588,2960
59,14190000.0,4,3.0,1850,2.0,8,1850,0,47.5059,2270
60,21450000.0,3,2.25,2150,1.0,8,1590,560,47.4336,2570
61,9537000.0,3,1.75,1260,1.0,7,1260,0,47.4366,1290
62,16665000.0,3,1.75,2519,2.0,8,2519,0,47.4428,2500
63,18117000.0,3,1.75,1540,3.0,8,1540,0,47.6765,1580
